type,count,if_si
apartments,2345,false
park,733,true
industrial,583,false
office,506,false
parking,361,false
playground,318,true
healthcare,269,false
school,220,false
garage,216,false
abandoned,210,false
pitch,197,true
company,179,false
kindergarten,157,false
bench,148,false
waste_basket,121,false
dormitory,93,false
university,87,false
social_service,84,false
waste_disposal,84,false
fast_food,83,false
convenience_store,78,false
cafe,77,true
bridge,75,false
supermarket,69,false
stadium,69,true
townhall,65,false
car_repair,56,false
hotel,53,false
college,50,false
entertainment,47,false
department_store,47,false
museum,45,true
warehouse,45,false
transportation,42,false
hangar,41,false
mall,41,false
fuel_station,39,false
household_store,37,false
research_facility,36,false
outpost,32,false
bicycle_parking,25,false
atm,25,false
fitness_centre,24,false
pharmacy,24,false
sports_school,23,true
alcohol_store,23,false
place_of_worship,22,true
toilets,21,false
fire_station,20,false
bakery,18,false
hairdresser,18,false
car_wash,18,false
florist,17,false
clothes,16,false
pier,16,true
beauty,15,false
bank,15,false
arts_centre,15,true
tourist_store,15,false
restaurant,14,true
police,13,false
culture_centre,13,true
ice_rink,12,true
social_facility,11,false
community_centre,11,true
stationery_store,11,false
car_parts,10,false
cosmetics,10,false
shoes_store,10,false
sports_centre,10,true
artwork,9,false
tobacco_store,9,false
post_box,9,false
post_office,9,false
butcher,8,false
electronics_repair,7,false
mobile_services,7,false
recycling,6,false
music_school,6,true
jewelry_store,6,false
dog_park,6,false
animal_shop,6,false
grocery_store,5,false
bar,5,true
electronics_store,4,false
fountain,3,false
theatre,3,true
animal_care,3,false
street_furniture,2,false
sports_store,2,false
sewing,2,false
library,2,true
tea_store,2,false
car_saloon,2,false
coffee_shop,2,false
pub,2,true
sauna,2,false
travel_agency,2,false
musical_store,2,false
driving_school,2,false
photo_booth,2,true
gift_shop,2,false
erotic_shop,2,false
vending_machine,2,false
concert_hall,1,true
books_store,1,false
photo_studio,1,false
administrative,1,false
stationery_service,1,false
rollerdrom,1,false
sound_studio,1,false
tobacco_shop,1,false
board_games,1,false
events_venue,1,true
rescue_station,1,false
research_centre,1,false
