amenity,count1,if_si
parking,1198,
bicycle_parking,903,
bench,875,
waste_basket,678,
vending_machine,325,
restaurant,301,true
parking_space,288,
recycling,244,
school,133,
fast_food,125,
post_box,106,
parking_entrance,72,
shelter,71,
bank,70,
bar,67,true
public_bookcase,64,true
cafe,56,true
pharmacy,52,
drinking_water,47,
fountain,47,
doctors,42,
bicycle_rental,41,
toilets,40,
place_of_worship,39,true
pub,39,true
college,32,
social_facility,32,
community_centre,31,true
atm,28,
driving_school,21,
library,21,true
dentist,20,
arts_centre,18,
fuel,18,
university,18,
kindergarten,17,
waste_disposal,15,
clock,14,
theatre,14,true
car_sharing,13,
post_office,11,
hospital,10,
vehicle_inspection,10,
childcare,9,
nightclub,9,
car_rental,8,
dojo,8,
music_school,8,
photo_booth,8,true
veterinary,7,
chair,6,
marketplace,6,true
parcel_locker,6,
studio,6,
townhall,6,true
car_wash,5,
charging_station,5,
ice_cream,5,
social_centre,5,true
taxi,5,
cinema,4,true
motorcycle_parking,4,
police,4,
waiting_area,4,
boat_storage,3,
conference_centre,3,
courthouse,3,
events_venue,3,
language_school,3,
luggage_locker,3,
prep_school,3,
clinic,2,
compressed_air,2,
coworking_space,2,true
reception_desk,2,
shower,2,
ticket_validator,2,
animal_shelter,1,
baking_oven,1,
bbq,1,
bicycle_repair_station,1,
bureau_de_change,1,
car_pooling,1,
crematorium,1,
dancing_school,1,true
device_charging_station,1,
exhibition_centre,1,true
fire_station,1,
give_box,1,
internet_cafe,1,
kitchen,1,
lounger,1,
nursing_home,1,
payment_centre,1,
piano,1,
planetarium,1,
printer,1,
prison,1,
public_building,1,
research_institute,1,
telephone_office,1,
toy_library,1,
trade_school,1,
vaccant,1,
vacuum_cleaner,1,
waiting_room,1,
waste_transfer_station,1,
water_point,1,
